Metric,Pearson r,Pearson p,Spearman r,Spearman p,N
Words Per Minute,0.7905588897971889,3.3527009045245823e-07,0.7741844348461381,8.337378543203133e-07,29
Disfluency Score,0.43620564305567117,0.018001883238111954,0.42189590767052626,0.02262859965765081,29
Long Pauses per Min,-0.2749996361363545,0.14879950961951036,-0.37511601086298024,0.04495231011989798,29
Fillers per Min,-0.08752322761626866,0.6516560998210154,0.014967954972647525,0.9385730722071469,29
Pause Variability,-0.29897915559232346,0.11513824526410184,-0.18581542808842347,0.33450938076370174,29
Speech Rate Variability,-0.45800666087995556,0.012473110224861847,-0.43901106873315293,0.01719350787684169,29
